8.85 1334.967 795.308 333.947 164.583
10.0 1382.404 836.770 415.946 181.962
10.75 1462.203 939.265 345.066 199.548
11.5 1682.318 979.690 438.529 205.254
12.5 1816.430 963.679 494.574 223.106
14.0 2040.187 1075.864 552.629 286.300
15.5 2343.113 1046.064 542.123 309.547
16.5 2185.130 1151.039 602.654 287.579
18.0 2302.665 1179.811 625.510 322.769
20.0 2484.283 1304.952 668.770 314.053
21.5 2469.407 1282.348 635.254 322.497
23.0 2404.784 1323.680 643.178 347.635
25.0 2452.868 1381.816 703.898 395.317
27.5 2587.382 1382.849 744.302 411.836
30.0 2660.621 1411.766 742.029 420.169
32.5 2614.418 1405.834 734.236 465.419
35.0 2600.506 1427.089 740.257 460.405
37.5 2549.032 1412.139 774.639 476.739
41.0 2443.305 1414.240 751.346 500.676
44.5 2393.106 1386.433 779.713 512.399
48.0 2328.825 1426.760 770.670 540.540
52.0 2201.917 1358.087 773.471 571.107
56.0 2232.442 1312.368 774.749 518.287
60.0 2110.885 1308.983 759.016 546.131
64.5 2013.549 1272.052 776.185 532.933
69.5 1843.377 1198.768 739.141 556.023
74.5 1802.870 1124.218 718.388 542.074
80.0 1749.204 1121.779 719.320 567.905
86.0 1570.682 1087.582 711.780 548.560
92.5 1500.112 1038.532 663.605 537.129
99.0 1409.334 936.771 646.067 507.792
105.5 1335.055 897.745 622.088 525.043
113.0 1194.435 860.732 600.630 511.695
121.0 1130.494 789.504 561.511 480.355
129.5 1043.878 726.467 548.761 469.432
138.0 938.592 721.208 496.622 465.878
147.0 895.874 662.716 488.957 428.841
157.0 818.801 606.027 445.967 411.672
167.0 741.816 562.603 435.086 382.659
177.5 673.281 525.954 391.637 375.139
189.0 631.863 490.276 370.506 348.823
201.0 575.142 431.415 340.164 346.174
213.5 519.375 415.325 332.828 316.716
226.5 468.252 381.339 314.474 293.339
240.5 442.058 338.366 290.548 272.463
255.0 382.832 314.857 271.590 258.542
270.0 346.394 294.360 250.850 241.663
286.0 317.209 264.513 223.179 218.276
303.0 295.253 241.820 206.612 206.426
321.0 262.302 216.080 188.554 191.244
339.5 238.599 201.418 179.749 170.347
359.0 204.508 185.956 162.815 155.731
390.5 178.114 153.363 139.847 136.054
435.5 150.564 128.540 114.930 115.714
485.0 117.786 103.522 95.778 92.180
539.5 94.763 85.760 80.949 79.408
599.0 74.839 66.203 64.084 62.411
664.5 59.473 53.257 50.253 50.251
736.5 45.962 43.370 42.767 40.426
815.5 37.064 35.503 32.609 33.508
902.5 28.753 25.887 26.297 25.380
998.0 22.697 21.708 21.052 20.517
1102.5 18.376 17.469 17.000 16.431
1217.0 13.985 13.673 13.349 13.135
1343.0 10.229 10.112 10.645 10.221
1481.5 8.623 8.455 8.362 7.718
1633.0 6.927 6.545 6.278 6.095
1799.0 4.854 5.109 5.067 4.840
1981.0 3.811 3.756 3.958 3.805
2180.5 2.998 2.950 2.933 3.044
2400.0 2.332 2.318 2.209 2.307
2640.5 1.712 1.770 1.741 1.753
2904.0 1.358 1.497 1.448 1.445
3193.0 1.111 1.149 1.141 1.116
3509.5 0.850 0.840 0.799 0.787
3857.0 0.653 0.585 0.613 0.607
4238.0 0.485 0.465 0.442 0.460
4655.5 0.376 0.389 0.368 0.386
